geocode,season_end_year,disease,total_cases_L1,peak_week,R0,alpha,beta,gamma,duration_weeks,rmse,success
1100015,2012,dengue,37.113736951805166,201224,1.3920073332349072,0.2816129799574514,0.41760219997334425,0.3000000000020633,50,1.0758521749416703,True
1100015,2013,dengue,165.19838620367358,201305,2.1930954002684793,0.5440234839407443,0.6579286200807264,0.30000000000008326,19,0.9803339905701106,True
1100015,2016,dengue,566.0303454580877,201604,2.2383932873763497,0.5532509833550684,0.7386697848054012,0.32999999998713625,17,5.228476814648091,True
1100015,2019,dengue,125.64442243878939,201924,2.1338228729760833,0.531357540185479,0.6401468619095205,0.30000000000782423,20,17.63058298241264,True
1100015,2020,dengue,68.87072860669093,201947,2.3546144725796556,0.5753020243248461,0.7360413602044121,0.31259527569200063,13,0.13147142148321825,True
1100015,2022,dengue,172.64553206195762,202224,1.6547297953624518,0.39567172670571266,0.49641893862970354,0.3000000000126716,34,1.8560085489428226,True
1100015,2023,dengue,381.7357152222835,202306,1.6914716172074657,0.4087988294766959,0.5074414851635415,0.3000000000007696,29,23.080131255172017,True
1100015,2024,dengue,336.48409783221075,202410,1.542396182975474,0.35165814656590005,0.46289802654923223,0.3001161644839164,36,3.0030647558212658,True
1100015,2025,dengue,63.080762559908216,202523,1.4380516395337808,0.30461467967575767,0.4346207660497209,0.3022289006190527,48,0.10341668590168629,True
1100023,2014,dengue,78.18943769789733,201407,1.6380669410472986,0.38952433814417275,0.49142008233269074,0.3000000000112945,31,0.2613675118734594,True
1100023,2016,dengue,49.671366568781075,201611,1.648768833983656,0.39348683733676587,0.4946306501957532,0.3000000000003981,34,0.0942377974686573,True
1100023,2017,dengue,68.62867498288271,201714,1.3057722595879915,0.23416967035620084,0.39173167794383384,0.30000000005164484,50,0.2813018944930067,True
1100023,2020,dengue,159.72966802183439,202012,1.4303789433845235,0.300884563055838,0.42911368302050334,0.30000000000359783,41,1.7170155888456777,True
1100023,2022,dengue,982.1421851860521,202215,1.7120104574021395,0.4158914183751935,0.5136031372227867,0.3000000000012528,32,28.217599922799867,True
1100023,2023,dengue,356.46864836321197,202310,1.517833724971778,0.34116630593473357,0.45535011750023446,0.30000000000573257,36,7.059589594922251,True
1100023,2024,dengue,93.48229265909345,202405,1.7557953570853488,0.43045754394748054,0.5267386071256421,0.30000000000002136,27,0.9525000866359168,True
1100031,2013,dengue,49.36323242607629,201309,1.6278192568612704,0.38568118310126115,0.4883457770595051,0.3000000000006905,33,0.08381012294673025,True
1100031,2015,dengue,105.6965576905981,201518,2.1667874049239213,0.5384872564204741,0.6519933919747387,0.30090325912598287,20,0.08609741560712869,True
1100031,2016,dengue,69.85439409915072,201602,2.2824273411414566,0.5618699522325676,0.6855012957699432,0.300338715460322,18,0.07271757854325485,True
1100031,2019,dengue,43.50609934384681,201924,1.6776023299481513,0.4039111759990781,0.5032806990144131,0.3000000000178634,33,0.1724307807493399,True
1100031,2020,dengue,49.83232474323512,201947,2.167375982857377,0.5386125859521419,0.6528559196166508,0.3012195044977628,14,0.1116989032744599,True
1100031,2023,dengue,68.27114636427693,202307,1.939665000869901,0.484447056810573,0.6400894502797373,0.329999999996221,22,0.1275934530789179,True
1100049,2011,dengue,45.90484027873766,201106,1.4071778309622383,0.28935776417384795,0.42215334929278125,0.3000000000029206,36,0.11697702609944252,True
1100049,2013,dengue,419.55431215136355,201312,1.735329814021096,0.42374066767008056,0.5205989442068162,0.3000000000002809,30,6.001942859535319,True
1100049,2014,dengue,62.59879473755525,201404,1.4002079915490513,0.2858203880884159,0.4200623974792131,0.300000000010354,35,0.33123843773008954,True
1100049,2016,dengue,253.12125297111265,201606,1.9836115110595314,0.4958690275668659,0.6321259651622917,0.31867427751749955,22,0.8929600948707567,True
1100049,2020,dengue,101.21904921140134,202017,1.4414431988321024,0.30625084581187245,0.4324688655408856,0.30002490968168843,46,0.10115456754651436,True
1100049,2021,dengue,135.17837122555017,202109,1.6019386780767282,0.3757563796383329,0.48258783999409793,0.3012523803804326,35,0.31303806009771123,True
1100049,2022,dengue,2042.2218027413712,202209,1.9014453535210822,0.4740842811242471,0.5704336060590467,0.30000000000143157,25,92.47521796991133,True
1100049,2023,dengue,660.8597338993095,202309,1.7035918589439127,0.4130049432028174,0.5110775577190387,0.30000000002105254,32,4.783674193267215,True
1100049,2024,dengue,171.78687739262517,202408,1.9978962802705358,0.49947351628054,0.6029123831153604,0.3017736151116513,22,0.45903673391384314,True
1100049,2025,dengue,135.96994935019393,202519,1.3070817581697787,0.23493691672337724,0.39717204010274165,0.30386166559227,50,0.6475395373088283,True
1100056,2011,dengue,156.92583637561268,201107,1.6763913839825422,0.403480589583838,0.5029174151951405,0.3000000000002254,31,0.9635448000850929,True
1100056,2012,dengue,110.01390649789752,201209,1.5267958475686105,0.3450335867807877,0.458038754271584,0.3000000000006555,35,0.5389555586249287,True
1100056,2013,dengue,784.2679802806865,201309,2.3027198640575897,0.5657309360080326,0.6911121084820152,0.3001286084639998,18,1.821066331098205,True
1100056,2016,dengue,339.71879803827073,201606,2.241499787861877,0.5538701339990398,0.739694929976906,0.3299999999921867,17,1.121251921390468,True
1100056,2017,dengue,284.51738835261943,201707,2.0714093603479844,0.5172369020134167,0.6388304317587143,0.30840375832394357,21,0.7139056612548279,True
1100056,2020,dengue,154.177149695993,202009,1.8053626641272942,0.44609467124246954,0.5477424929250396,0.3033974856181134,28,0.7471592135857101,True
1100056,2023,dengue,140.49509081173923,202310,1.8530786053677186,0.46035748451072134,0.5561990084757774,0.30014863204651115,27,0.41725911675720995,True
1100056,2024,dengue,50.42995313140796,202409,4.127279976857094,0.7577096766860251,1.238183993059851,0.30000000000065974,7,0.05385404766235512,True
1100056,2025,dengue,56.6711666512603,202519,1.5784547930774937,0.3664690275669457,0.508220276020506,0.3219732856774664,35,0.13886203065487474,True
1100064,2011,dengue,391.78533271109876,201050,2.10486189045543,0.5249094467743775,0.6314585671601394,0.30000000001116955,17,7.725716617874429,True
1100064,2012,dengue,130.59162122314063,201213,1.6693057660195045,0.4009485737388175,0.502109228385589,0.30078924940328894,34,0.5280871773725353,True
1100064,2013,dengue,70.99457256084942,201308,1.6098707184316399,0.3788321083482934,0.4839380528484273,0.30060677997788976,33,0.42178012838708345,True
1100064,2020,dengue,67.06571512326808,202013,1.772071227761318,0.4356885974254467,0.5847835051559009,0.32999999999699,27,0.07319886560367708,True
1100064,2024,dengue,60.24916891182492,202422,1.5639325418994836,0.3605862316890957,0.46980379462022154,0.300399014684878,39,0.1544143409326439,True
1100072,2012,dengue,48.07236628474311,201211,2.0129824946114234,0.5032246913836003,0.6048939016668946,0.3004963546807497,22,0.08714556563092597,True
1100072,2013,dengue,57.09189916353497,201310,1.9772900592328475,0.49425730669582096,0.5932965747573473,0.30005540764592503,23,0.07271670581636056,True
1100072,2023,dengue,71.42353244087852,202308,2.487115496844925,0.5979277997871156,0.7475323771707179,0.30056198761939823,16,0.3178738061991917,True
1100072,2025,dengue,70.12662653572583,202515,1.6324822712124132,0.387435920356232,0.49729650182772484,0.3046259739521657,34,0.17858278794474292,True
1100080,2011,dengue,142.79134003889152,201108,2.10334735519721,0.5245673533051607,0.631821444183001,0.30038854144647986,21,0.36961985674574444,True
1100080,2012,dengue,60.609174214600344,201212,1.8521009301872362,0.46007262147484257,0.5649943520019963,0.3050559193579579,27,0.03624976859198091,True
1100080,2013,dengue,71.04052017468112,201309,2.4289272056515916,0.5882956073474681,0.7377661624384102,0.30374156982629485,16,0.1411686908999986,True
1100080,2014,dengue,226.2935469566191,201401,1.7914865369849917,0.4418043455224818,0.5385855850345641,0.3006361331305255,23,4.816457765140916,True
1100080,2023,dengue,70.69264371133234,202310,1.2932025772973508,0.22672594568293508,0.4267568505051317,0.32999999999768476,44,0.6377880864729687,True
1100080,2024,dengue,121.95187924768955,202410,3.963832196438032,0.7477188865616922,1.189149658931694,0.30000000000007176,8,0.12441645838263772,True
1100098,2011,dengue,85.51101844439496,201105,1.4447913710051197,0.30785854617589875,0.43347636551830276,0.3000269618282256,34,0.665952315073089,True
1100098,2013,dengue,634.6476188116811,201309,2.2417532467371424,0.553920574686133,0.6754383265398249,0.3012991405378452,18,7.402336153671299,True
1100098,2014,dengue,101.09700185185838,201346,2.658617090396987,0.6238646010318548,0.7975851271272842,0.30000000000307986,11,0.3090742900158786,True
1100098,2015,dengue,92.92003757725922,201523,1.2872705286866273,0.2231625150151794,0.3861811586203886,0.30000000001118676,51,2.4089856218588377,True
1100098,2016,dengue,637.7695208853603,201603,2.130645261463763,0.5306586140421163,0.6391935784396933,0.3000000000002649,21,17.33624795820038,True
1100098,2017,dengue,120.5235810068407,201711,1.5123194330276368,0.3387640347925585,0.4536958299452193,0.3000000000244183,38,0.6547403959974493,True
1100098,2020,dengue,125.68838863890649,202023,1.672694849034305,0.40216232471970076,0.504008796703679,0.30131544734214843,33,0.34203625752563116,True
1100098,2022,dengue,475.51298832239786,202216,2.0753773586060436,0.5181599163866449,0.6227828479971412,0.3000817395519059,22,1.8211938151885452,True
1100098,2023,dengue,181.1723417182307,202309,1.815000658699034,0.44903601262779397,0.5520933234405192,0.30418353888436145,28,0.7651495209180434,True
